movie_title;id;recomended_movie_id_0;recomended_movie_id_1;recomended_movie_id_2;recomended_movie_id_3;recomended_movie_id_4;recomended_movie_title_0;recomended_movie_title_1;recomended_movie_title_2;recomended_movie_title_3;recomended_movie_title_4
Avatar题迨;0;37;159;224.0;594.0;2039.0;Transformers: Age of Extinction题迨;Star Trek题迨;Prometheus题迨;Battle Los Angeles题迨;Star Wars: Episode V - The Empire Strikes Back题迨
Pirates of the Caribbean: At World's End题迨;1;13;54;162.0;202.0;2433.0;Pirates of the Caribbean: Dead Man's Chest题迨;Indiana Jones and the Kingdom of the Crystal Skull题迨;Gods of Egypt题迨;Pirates of the Caribbean: The Curse of the Black Pearl题迨;Dragonslayer题迨
Spectre题迨;2;12;135;197.0;1565.0;2081.0;Quantum of Solace题迨;Mission: Impossible - Rogue Nation题迨;Harry Potter and the Deathly Hallows: Part II题迨;Moonraker题迨;Underworld题迨
The Dark Knight Rises题迨;3;392;584;592.0;3112.0;4290.0;The Bourne Supremacy题迨;Die Hard 2题迨;Olympus Has Fallen题迨;Invasion U.S.A.题迨;Supercapitalist题迨
Star Wars: Episode VII - The Force Awakens题迨            ;4;115;1998;2098.0;2713.0;2722.0;Harry Potter and the Goblet of Fire题迨;Space Dogs题迨;The Little Vampire题迨;Felicia's Journey题迨;Silent Trigger题迨
John Carter题迨;5;15;86;306.0;4031.0;4836.0;Man of Steel题迨;Captain America: The Winter Soldier题迨;Starship Troopers题迨;Beneath the Planet of the Apes题迨;Ink题迨
Spider-Man 3题迨;6;191;257;1051.0;1737.0;2140.0;Noah题迨;The A-Team题迨            ;First Blood题迨;Indiana Jones and the Temple of Doom题迨;Raiders of the Lost Ark题迨
Tangled题迨;7;55;119;247.0;759.0;784.0;The Good Dinosaur题迨;Ratatouille题迨;Night at the Museum题迨;The Lego Movie题迨;Sinbad: Legend of the Seven Seas题迨
Avengers: Age of Ultron题迨;8;83;237;407.0;594.0;2900.0;Dawn of the Planet of the Apes题迨;Star Wars: Episode I - The Phantom Menace题迨;Divergent题迨;Battle Los Angeles题迨;Star Trek II: The Wrath of Khan题迨
Harry Potter and the Half-Blood Prince题迨;9;9;387;510.0;748.0;1452.0;Harry Potter and the Half-Blood Prince题迨;The Nutcracker in 3D题迨;The Little Prince题迨;The Tale of Despereaux题迨;Nanny McPhee Returns题迨
Batman v Superman: Dawn of Justice题迨;10;15;44;159.0;246.0;4651.0;Man of Steel题迨;Terminator Salvation题迨;Star Trek题迨;Fantastic Four题迨;Destiny题迨
Superman Returns题迨;11;11;237;285.0;475.0;1524.0;Superman Returns题迨;Star Wars: Episode I - The Phantom Menace题迨;Terminator 2: Judgment Day题迨;The Time Machine题迨;Star Wars: Episode VI - Return of the Jedi题迨
Quantum of Solace题迨;12;30;222;1447.0;2502.0;3455.0;Skyfall题迨;Jason Bourne题迨;Flash Gordon题迨;Superman IV: The Quest for Peace题迨;The Man with the Golden Gun题迨
Pirates of the Caribbean: Dead Man's Chest题迨;13;13;31;162.0;820.0;2410.0;Pirates of the Caribbean: Dead Man's Chest题迨;Spider-Man 2题迨;Gods of Egypt题迨;DragonHeart题迨;Conan the Destroyer题迨
The Lone Ranger题迨;14;257;310;1051.0;1170.0;4472.0;The A-Team题迨            ;Hercules题迨;First Blood题迨;A Knight's Tale题迨;The Charge of the Light Brigade题迨
Man of Steel题迨;15;60;102;475.0;493.0;2439.0;2012题迨;X-Men: First Class题迨;The Time Machine题迨;The Postman题迨;Megaforce题迨
The Chronicles of Narnia: Prince Caspian题迨;16;51;106;298.0;980.0;1008.0;Prince of Persia: The Sands of Time题迨;Alice Through the Looking Glass题迨;Eragon题迨;The Adventures of Sharkboy and Lavagirl 3-D题迨;Your Highness题迨
The Avengers题迨;17;62;80;159.0;489.0;492.0;Jupiter Ascending题迨;Iron Man 2题迨;Star Trek题迨;Battlefield Earth题迨;Timeline题迨
Pirates of the Caribbean: On Stranger Tides题迨;18;13;108;241.0;335.0;4894.0;Pirates of the Caribbean: Dead Man's Chest题迨;Warcraft题迨;The Huntsman: Winter's War题迨;The Lord of the Rings: The Return of the King题迨;
Men in Black 3题迨;19;19;1812;1869.0;2024.0;4894.0;Men in Black 3题迨;Spy Kids: All the Time in the World in 4D题迨;Jimmy Neutron: Boy Genius题迨;Muppets from Space题迨;
The Hobbit: The Battle of the Five Armies题迨;20;115;193;861.0;1726.0;4894.0;Harry Potter and the Goblet of Fire题迨;Harry Potter and the Prisoner of Azkaban题迨;Paddington题迨;The Borrowers题迨;
The Amazing Spider-Man题迨;21;13;54;202.0;729.0;4894.0;Pirates of the Caribbean: Dead Man's Chest题迨;Indiana Jones and the Kingdom of the Crystal Skull题迨;Pirates of the Caribbean: The Curse of the Black Pearl题迨;The Scorpion King题迨;
Robin Hood题迨;22;22;272;629.0;800.0;1801.0;Robin Hood题迨;Kingdom of Heaven题迨;Agora题迨;Beyond Borders题迨;The Right Stuff题迨
The Hobbit: The Desolation of Smaug题迨;23;33;49;82.0;308.0;374.0;Alice in Wonderland题迨;Jack the Giant Slayer题迨;Maleficent题迨;Legend of the Guardians: The Owls of Ga'Hoole题迨;Percy Jackson: Sea of Monsters题迨
The Golden Compass题迨;24;16;23;38.0;308.0;374.0;The Chronicles of Narnia: Prince Caspian题迨;The Hobbit: The Desolation of Smaug题迨;Oz the Great and Powerful题迨;Legend of the Guardians: The Owls of Ga'Hoole题迨;Percy Jackson: Sea of Monsters题迨
King Kong题迨;25;10;2540;4554.0;4742.0;4894.0;Batman v Superman: Dawn of Justice题迨;Double Impact题迨;Hardflip题迨;Diamond Ruff题迨;
Titanic题迨;26;411;1578;1611.0;3801.0;4682.0;Memoirs of a Geisha题迨;The Vow题迨;Hope Floats题迨;Pat Garrett & Billy the Kid题迨;Love Letters题迨
Captain America: Civil War题迨;27;0;44;83.0;647.0;2439.0;Avatar题迨;Terminator Salvation题迨;Dawn of the Planet of the Apes题迨;The Matrix题迨;Megaforce题迨
Battleship题迨;28;150;1332;1349.0;1619.0;2156.0;Armageddon题迨;Star Trek: Generations题迨;Riddick题迨;Star Trek V: The Final Frontier题迨;Mortal Kombat题迨
Jurassic World题迨;29;76;163;227.0;1619.0;3435.0;Waterworld题迨;Stealth题迨;The Chronicles of Riddick题迨;Star Trek V: The Final Frontier题迨;The Omega Code题迨
Skyfall题迨;30;171;1157;1301.0;3924.0;4894.0;The World Is Not Enough题迨;Licence to Kill题迨;Extreme Ops题迨;A Lonely Place to Die题迨;
Spider-Man 2题迨;31;13;18;54.0;202.0;558.0;Pirates of the Caribbean: Dead Man's Chest题迨;Pirates of the Caribbean: On Stranger Tides题迨;Indiana Jones and the Kingdom of the Crystal Skull题迨;Pirates of the Caribbean: The Curse of the Black Pearl题迨;Sucker Punch题迨
Iron Man 3题迨;32;112;246;306.0;493.0;1398.0;Transformers题迨;Fantastic Four题迨;Starship Troopers题迨;The Postman题迨;Star Trek: The Motion Picture题迨
Alice in Wonderland题迨;33;82;104;139.0;1008.0;2631.0;Maleficent题迨;The Sorcerer's Apprentice题迨;The Last Airbender题迨;Your Highness题迨;The Princess Bride题迨
X-Men: The Last Stand题迨;34;29;1349;1619.0;1690.0;4894.0;Jurassic World题迨;Riddick题迨;Star Trek V: The Final Frontier题迨;Dragonball: Evolution题迨;
Monsters University题迨;35;119;1086;1735.0;2170.0;4894.0;Ratatouille题迨;A Bug's Life题迨;Aladdin题迨;Return to Never Land题迨;
